article_id,country,newspaper,date,page,title,theme,sub_theme,population,author,source_url,archive,ocr_quality
IND01,India,The Bombay Chronicle,21/7/1939,unknown,Uplift Of Hill Tribes,People,Colonial/government policy; tribal administration; political representation,Aboriginal and Hill Tribes of the Bombay Presidency,"L. M. Shrikant, M.L.A.",https://archive.org/details/india.history.resource.9714/page/n3/mode/2up,Internet Archive,Good
IND02,India,The Bombay Chronicle,21/7/1939,unknown,No Favouritism For Tenants,Land; People,Land tenancy; rent; zamindars; tenants; agricultural policy; government intervention,Tenants and zamindars in the United Provinces,unknown,https://archive.org/details/india.history.resource.9714/page/n3/mode/2up,Internet Archive,Good
IND03,India,The Bombay Chronicle,29/5/1939,unknown,Madura Harijan Conference — Gopal Reddi’s Plea For Economic Uplift,People,Economic uplift; caste discrimination; social reform; education; occupational advancement,Harijans,unknown,https://archive.org/details/india.history.resource.12779,Internet Archive,Good
IND04,India,The Bombay Chronicle,29/5/1939,unknown,Narrow Provincialism Deplored,People,Tribal/rural social conditions; alcohol; political unity; Congress government,Warli and Dubla peasants; Indians,unknown,https://archive.org/details/india.history.resource.12779,Internet Archive,Good
IND05,India,The Bombay Chronicle,29/5/1939,unknown,Europe Is Becoming Re-Barbarised — Sadhu Vaswani Tells Warring World Of Buddha’s Message,Culture; People,Buddhist philosophy; beliefs; religious practice; inter-racial and inter-religious brotherhood,People of Ceylon / Buddhist community,T. L. Vaswani,https://archive.org/details/india.history.resource.12779,Internet Archive,Good
IND06,India,The Bombay Chronicle,29/5/1939,unknown,Tobacco And Sales Tax Welcomed — Moulvi Ameen Congratulates Madras Ministry,Culture; People,Religion; Islam; Hindu-Muslim relations; religious differences; inter-religious unity,Hindu and Muslim communities,Moulvi Muhammad Ameen,https://archive.org/details/india.history.resource.12779,Internet Archive,Good
IND07,India,The Bombay Chronicle,29/5/1939,unknown,Planter Raj v. Labour — Bengal T.U.C. Chief On Urgent Need Of Funds For Digboi Strikers,People,Labour exploitation; plantation labour; British vested interests; workers’ rights; colonial economic power,"Assam labourers, including tea-garden workers and oil workers",Mrinal Kanti Bose,https://archive.org/details/india.history.resource.12779,Internet Archive,Good
IND08,India,The Bombay Chronicle,29/5/1939,unknown,Warning To Britain And Dominions,People,Political rights; self-government; colonial administration; racial discrimination; representation,Indians,Commander Stephen King-Hall,https://archive.org/details/india.history.resource.12779,unknown,Good
IND09,India,The Bombay Chronicle,29/5/1939,unknown,Full Internal And External Freedom,People,Political rights; self-government; British imperialism; religious/political identity,Indian Muslims,unknown,https://archive.org/details/india.history.resource.12779,unknown,Good
AUS01,Australia,The Sydney Morning Herald,7/1/1939,unknown,No Admission Of Aborigines,People,Military exclusion; racial classification,Aboriginal Australians,unknown,https://trove.nla.gov.au/newspaper/article/17562781?searchTerm=aboriginal,Trove,Good
AUS02,Australia,The Sydney Morning Herald,4/1/1939,unknown,Recruiting Of Aborigines,People,Military recruitment; racial exclusion and inclusion,Aboriginal Australians,unknown,https://trove.nla.gov.au/newspaper/article/17560052?searchTerm=aboriginal%2C%20indigenous%2C%20tribe%2C%20aborigines,Trove,Good
AUS03,Australia,The Sydney Morning Herald,4/1/1939,unknown,New Deal For Natives,People; Land; Culture,Civilisation; government intervention; dispossession; Aboriginal autonomy,Aboriginal Australians,Ernestine Hill,https://trove.nla.gov.au/newspaper/article/17560000?searchTerm=aboriginal%2C%20indigenous%2C%20tribe%2C%20aborigines,Trove,Good
AUS04,Australia,The Sydney Morning Herald,17/1/1939,unknown,Aborigines In Country,People,Racial discrimination; social exclusion; education,Aboriginal Australians,unknown,https://trove.nla.gov.au/newspaper/article/27975833?searchTerm=aboriginal%2C%20indigenous%2C%20tribe%2C%20aborigines,Trove,Good
AUS05,Australia,The Sydney Morning Herald,20/1/1939,unknown,New Aboriginal Policy,People,Government policy; political rights; franchise,Aboriginal Australians,unknown,https://trove.nla.gov.au/newspaper/article/17552736?searchTerm=aboriginal%2C%20indigenous%2C%20tribe%2C%20aborigines,Trove,Good
AUS06,Australia,The Sydney Morning Herald,21/1/1939,unknown,Mongrel Whites,Land; People,Aboriginal reserve; access; discrimination; reserve space,Aboriginal Australians,G. W. Moore,https://trove.nla.gov.au/newspaper/article/17552066?searchTerm=aboriginal%20territory%2C%20settlement%2C%20reserve%2C%20hunting%20grounds%2C%20dispossession%2C%20ownership%2C%20aboriginal%20land,Trove,Good
AUS07,Australia,The Sydney Morning Herald,6/2/1939,unknown,Aborigines In Flight,Land; People,Aboriginal reserve; movement; government control,Aboriginal Australians,unknown,https://trove.nla.gov.au/newspaper/article/17557578?searchTerm=aboriginal%20territory%2C%20settlement%2C%20reserve%2C%20hunting%20grounds%2C%20dispossession%2C%20ownership%2C%20aboriginal%20land,Trove,Good
AUS08,Australia,The Sydney Morning Herald,8/2/1939,unknown,Aborigines' Status,People; Land; Culture,Government policy; citizenship; land protection; assimilation; Aboriginal administration,Aboriginal Australians,unknown,https://trove.nla.gov.au/newspaper/article/17546804?searchTerm=aboriginal%20territory%2C%20settlement%2C%20reserve%2C%20hunting%20grounds%2C%20dispossession%2C%20ownership%2C%20aboriginal%20land,Trove,Good
AUS09,Australia,The Sydney Morning Herald,28/2/1939,unknown,Reserves For Aborigines,Land; People,Aboriginal reserves; government administration; settlement; agriculture,Aboriginal Australians,S. H. Davies,https://trove.nla.gov.au/newspaper/article/17565025?searchTerm=aboriginal%20territory%2C%20settlement%2C%20reserve%2C%20hunting%20grounds%2C%20dispossession%2C%20ownership%2C%20aboriginal%20land,Trove,Good
AUS10,Australia,The Sydney Morning Herald,11/3/1939,unknown,Aboriginal Reserves,Land; People,Aboriginal reserves; living conditions; government control; resistance,Aboriginal Australians,unknown,https://trove.nla.gov.au/newspaper/article/17566457?searchTerm=aboriginal%20territory%2C%20settlement%2C%20reserve%2C%20hunting%20grounds%2C%20dispossession%2C%20ownership%2C%20aboriginal%20land,Trove,Good
